fase,modelo,perfil,semilla,etiqueta,umbral,n,prevalencia_real,TP,TN,FP,FN,accuracy,precision,recall,f1,f2,roc_auc,pr_auc,balanced_accuracy,specificity,fpr,fnr,mcc,brier,fold,valido,motivo,umbral_op,bloques_train,bloques_val,bloques_compartidos,lagos_val,train_hasta,test_fecha,prevalencia_inestable,experimento,train,test,ejecutable,prevalencia_train,prevalencia_test,scale_pos_weight
temporal,xgboost,standard,,fold1,0.98200660943985,36184,0.1357506080035374,3919,30315,957,993,0.9461087773601592,0.8037325676784249,0.7978420195439739,0.8007764609726196,0.7990132115478715,0.984221271091601,0.9106920311244068,0.8836197818364535,0.9693975441289332,0.0306024558710667,0.202157980456026,0.7696237946234137,0.0678844153881073,1.0,True,,0.98200660943985,,,,,2025-01-18 .. 2025-04-15,2025-04-28,False,,,,,,,
temporal,random_forest,standard,,fold2,0.7936258338151515,305290,7.533820302007927e-05,5,305238,29,18,0.9998460480199156,0.1470588235294117,0.217391304347826,0.175438596491228,0.1984126984126984,0.999256246242598,0.1306845454340211,0.6086481527717503,0.9999050011956746,9.499880432539385e-05,0.782608695652174,0.1787247206208873,0.0002965939913697,2.0,True,,0.7936258338151515,,,,,2025-01-18 .. 2025-04-28,2025-05-13,True,,,,,,,
temporal,xgboost,standard,,fold2,0.9935106635093688,305290,7.533820302007927e-05,0,305263,4,23,0.9999115595008023,0.0,0.0,0.0,0.0,0.9994795717676088,0.1841567062132227,0.4999934483583224,0.9999868967166448,1.3103283355226737e-05,1.0,-3.141959191509921e-05,0.0002630325616337,2.0,True,,0.9935106635093688,,,,,2025-01-18 .. 2025-04-28,2025-05-13,True,,,,,,,
temporal,random_forest,standard,,fold3,0.769774884854896,298689,0.0011684394135706,150,298288,52,199,0.9991596610521312,0.7425742574257426,0.4297994269340974,0.5444646098003629,0.4693366708385482,0.9949469730599096,0.6617047850430869,0.7148125645765211,0.9998257022189448,0.0001742977810551,0.5702005730659025,0.5645725214931964,0.0006921938408995,3.0,True,,0.769774884854896,,,,,2025-01-18 .. 2025-05-13,2025-07-17,False,,,,,,,
temporal,xgboost,standard,,fold3,0.9937200546264648,298689,0.0011684394135706,97,298312,28,252,0.9990625700979948,0.776,0.2779369627507163,0.4092827004219409,0.3188691650230111,0.9942243643096388,0.5945033865098076,0.6389215550496894,0.9999061473486626,9.385265133740028e-05,0.7220630372492837,0.464081612111389,0.0013362768804654,3.0,True,,0.9937200546264648,,,,,2025-01-18 .. 2025-05-13,2025-07-17,False,,,,,,,
temporal,random_forest,standard,,fold4,0.7738447199533384,305298,0.0010907375744354,219,304934,31,114,0.99952505420933,0.876,0.6576576576576577,0.7512864493996569,0.6921618204804045,0.9965515463818548,0.8437321101980894,0.8287780033242628,0.9998983489908678,0.0001016510091321,0.3423423423423423,0.7587972887836237,0.0004371186315423,4.0,True,,0.7738447199533384,,,,,2025-01-18 .. 2025-07-17,2025-11-21,False,,,,,,,
temporal,xgboost,standard,,fold4,0.9947117567062378,305298,0.0010907375744354,172,304949,16,161,0.9994202385865614,0.9148936170212766,0.5165165165165165,0.6602687140115163,0.5657894736842105,0.9994187783770194,0.7960474894363626,0.7582320257397726,0.9999475349630286,5.246503697145574e-05,0.4834834834834834,0.6871951230340757,0.0009453056263737,4.0,True,,0.9947117567062378,,,,,2025-01-18 .. 2025-07-17,2025-11-21,False,,,,,,,
temporal,random_forest,standard,,fold5,0.7654532866205805,36434,0.0282428500850853,635,35364,41,394,0.9880606027337104,0.9393491124260356,0.6171039844509232,0.7448680351906158,0.6625626043405676,0.9966767993133462,0.9137136996496062,0.8079729779619396,0.9988419714729558,0.0011580285270442,0.3828960155490767,0.7561755604802612,0.0078632869528079,5.0,True,,0.7654532866205805,,,,,2025-01-18 .. 2025-11-21,2025-11-24,False,,,,,,,
temporal,xgboost,standard,,fold5,0.9952706694602966,36434,0.0282428500850853,679,35351,54,350,0.9889114563319976,0.9263301500682128,0.6598639455782312,0.7707150964812712,0.7001443596617859,0.9960438211235833,0.9023225068273018,0.8291693686371597,0.998474791696088,0.0015252083039118,0.3401360544217687,0.7767785403426785,0.0181603822857141,5.0,True,,0.9952706694602966,,,,,2025-01-18 .. 2025-11-21,2025-11-24,False,,,,,,,
temporal,random_forest,standard,,fold6,0.7443515340845894,309406,0.0008306238405202,127,309121,28,130,0.999489344098046,0.8193548387096774,0.4941634241245136,0.616504854368932,0.536770921386306,0.997432571676335,0.7336826435770712,0.74703642645564,0.9999094287867664,9.057121323374812e-05,0.5058365758754864,0.6360922016907108,0.0004620004741073,6.0,True,,0.7443515340845894,,,,,2025-01-18 .. 2025-11-24,2025-12-29,False,,,,,,,
temporal,xgboost,standard,,fold6,0.9934231638908386,309406,0.0008306238405202,41,309149,0,216,0.9993018881340376,1.0,0.159533073929961,0.2751677852348993,0.1917680074836295,0.997474062505188,0.4918984910682825,0.5797665369649805,1.0,0.0,0.8404669260700389,0.3992764546501166,0.0037249105516821,6.0,True,,0.9934231638908386,,,,,2025-01-18 .. 2025-11-24,2025-12-29,False,,,,,,,
temporal,random_forest,standard,,fold7,0.7347429882327394,36668,0.0950147267372095,2763,33023,161,721,0.9759463292243918,0.944938440492476,0.7930539609644087,0.8623595505617978,0.8193950177935944,0.995671146345271,0.9637767716929654,0.8941011125940654,0.9951482642237224,0.0048517357762777,0.2069460390355912,0.853206453622988,0.017366484728527,7.0,True,,0.7347429882327394,,,,,2025-01-18 .. 2025-12-29,2026-01-08,False,,,,,,,
