grupo,n,advertencia,etiqueta,umbral,prevalencia_real,TP,TN,FP,FN,accuracy,precision,recall,f1,f2,roc_auc,pr_auc,balanced_accuracy,specificity,fpr,fnr,mcc,brier,area_FP_ha,area_FN_ha,area_error_ha
77,1,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
78,2,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
79,1,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
80,2,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
81,126,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
82,2,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
83,1,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
84,37,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
85,88,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
86,2,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
87,3,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
88,59,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
89,11,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
90,16,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
91,1,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
92,2,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
93,3293,,93,0.9407730597461879,0.0030367446097783178,1.0,3281.0,2.0,9.0,0.9966595809292439,0.3333333333333333,0.1,0.15384615384615385,0.11627906976744186,0.9772159610112702,0.23233216059275336,0.549695400548279,0.999390801096558,0.0006091989034419738,0.9,0.18126879848099214,0.008164558559656143,0.08,0.36,0.44
94,10462,,94,0.9407730597461879,0.00019116803670426305,2.0,10456.0,4.0,0.0,0.9996176639265915,0.3333333333333333,1.0,0.5,0.7142857142857143,0.9996653919694072,0.29166666666666663,0.9998087954110899,0.9996175908221797,0.0003824091778202677,0.0,0.5772398666129993,0.004815306514501572,0.16,0.0,0.16
95,420,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
96,1,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
97,1,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
98,5,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
99,1,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
100,6,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
101,16602,,101,0.9407730597461879,0.0004216359474762077,0.0,16595.0,0.0,7.0,0.9995783640525238,0.0,0.0,0.0,0.0,0.9981319674600784,0.45289685252091266,0.5,1.0,0.0,1.0,0.0,0.0003690779267344624,0.0,0.28,0.28
102,27338,,102,0.9407730597461879,7.315824127587973e-05,0.0,27336.0,0.0,2.0,0.9999268417587241,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,1.0,0.0,4.588507363223471e-05,0.0,0.08,0.08
103,6908,,103,0.9407730597461879,0.0021713954834973945,4.0,6891.0,2.0,11.0,0.9981181239143022,0.6666666666666666,0.26666666666666666,0.38095238095238093,0.30303030303030304,0.9937231007302094,0.38565243808490846,0.6331882586198558,0.9997098505730451,0.0002901494269548818,0.7333333333333333,0.42090356337794926,0.0064212726429104805,0.08,0.44,0.52
104,3,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
105,13,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
106,1363,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
107,18631,,107,0.9407730597461879,0.0001610219526595459,0.0,18627.0,1.0,3.0,0.9997853040631206,0.0,0.0,0.0,0.0,0.9970116670245509,0.061801881246325685,0.49997315868584924,0.9999463173716985,5.368262830148164e-05,1.0,-9.297604863730435e-05,0.0008827284327708185,0.04,0.12,0.16
108,27435,,108,0.9407730597461879,3.644979041370512e-05,0.0,27434.0,0.0,1.0,0.9999635502095863,0.0,0.0,0.0,0.0,0.9943865276663993,0.0064516129032258064,0.5,1.0,0.0,1.0,0.0,4.1365758079336956e-05,0.0,0.04,0.04
109,22002,,109,0.9407730597461879,4.545041359876375e-05,0.0,22000.0,1.0,1.0,0.9999090991728025,0.0,0.0,0.0,0.0,0.9977728285077951,0.02,0.4999772737602836,0.9999545475205672,4.545247943275306e-05,1.0,-4.545247943275306e-05,0.00023496182984672487,0.04,0.04,0.08
110,4424,,110,0.9407730597461879,0.0002260397830018083,0.0,4423.0,0.0,1.0,0.9997739602169982,0.0,0.0,0.0,0.0,0.9972869093375537,0.07692307692307693,0.5,1.0,0.0,1.0,0.0,0.0016834019916132092,0.0,0.04,0.04
111,84,,111,0.9407730597461879,0.10714285714285714,5.0,74.0,1.0,4.0,0.9404761904761905,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.5952380952380952,0.9792592592592593,0.8355650522317188,0.7711111111111111,0.9866666666666667,0.013333333333333334,0.4444444444444444,0.651187825474021,0.06592036783695221,0.04,0.16,0.2
112,57,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
113,1528,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
